Lautaro Valentin,Fornerón,23772524,1980-02-10,7574
Ciro,Hernández,37187440,1991-08-10,3837
Lautaro Emanuel,Fornerón,22379381,1989-12-14,1570
Thiago Benjamin,Sánchez,30375660,1983-06-27,8812
Luis Fernando,Mora,22870764,1997-12-23,8189
Maria,Rómulo,25276748,1999-01-05,3186
Alvaro,Pinedo,36007537,1993-10-01,1148
Candela Abigail,Villalba,33422230,2002-12-16,8902
Joaquin Alejandro,Rosso,23010600,1994-03-13,7651
Genaro,Rotundo,34590274,1993-04-20,3329
Magdalena,Nari,27877317,1980-06-12,29
Agustin Alejandro,Galán,28753437,2004-08-05,3544
Santiago Valentin,Sorbera,28374354,2004-01-06,6331
Santiago Emanuel,Maradona,24335578,1981-11-02,3860
Santiago Joaquin,Giménez,26678784,1992-09-08,2275
Martin Alejandro,Mamani,23763171,2001-05-29,575
Thiago Nahuel,Salvador,24889099,1992-08-16,4825
Mateo Benjamin,Rómulo,38353171,1986-12-19,8798
Franco Gabriel,Castillo,20308465,1994-06-23,3133
Facundo Agustin,Silva,25151560,1998-12-06,4701
Lautaro Sebastian,Borges,22030488,1992-11-11,5625
Milagros Soledad,Pérez,25938846,1981-03-27,2460
Ana Laura,Díaz,25737316,1985-09-18,5758
Lautaro Martin,Castillo,32653681,1999-07-31,767
Celeste Abigail,Goicochea,39784975,1999-12-31,8821
Nicole,Gómez,34686518,1981-05-24,5681
Abril Agustina,Hidalgo,24680170,1994-10-04,7574
